CIRCUS NAME,VENUE NAME,ADDRESS,CITY,STATE,ZIP,COORDS,City / Area,STATE,Show Date
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Tuesday, June 24, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Wednesday, June 25, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Thursday, June 26, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Friday, June 27, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Saturday, June 28, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Sunday, June 29, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Monday, June 30, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Tuesday, July 1, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Wednesday, July 2, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Thursday, July 3, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Friday, July 4, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Saturday, July 5, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Sunday, July 6, 2025"
ESC,Deerfoot City Mall,901 64 Ave NE,Calgary,AB,T2E 7P4,"51.10851119076407, -114.04118894677525",Calgary,AB,"Monday, July 7, 2025"
ESC,Medicine Hat Mall,3292 Dunmore Rd SE,Medicine Hat,AB,T1B 2R4,"50.00294817557074, -110.65117378888513",Medecine Hat,AB,"Tuesday, July 22, 2025"
ESC,Medicine Hat Mall,3292 Dunmore Rd SE,Medicine Hat,AB,T1B 2R4,"50.00294817557074, -110.65117378888513",Medecine Hat,AB,"Wednesday, July 23, 2025"
ESC,Medicine Hat Mall,3292 Dunmore Rd SE,Medicine Hat,AB,T1B 2R4,"50.00294817557074, -110.65117378888513",Medecine Hat,AB,"Thursday, July 24, 2025"
ESC,Medicine Hat Mall,3292 Dunmore Rd SE,Medicine Hat,AB,T1B 2R4,"50.00294817557074, -110.65117378888513",Medecine Hat,AB,"Friday, July 25, 2025"
ESC,Medicine Hat Mall,3292 Dunmore Rd SE,Medicine Hat,AB,T1B 2R4,"50.00294817557074, -110.65117378888513",Medecine Hat,AB,"Saturday, July 26, 2025"
ESC,Medicine Hat Mall,3292 Dunmore Rd SE,Medicine Hat,AB,T1B 2R4,"50.00294817557074, -110.65117378888513",Medecine Hat,AB,"Sunday, July 27, 2025"
ESC,Medicine Hat Mall,3292 Dunmore Rd SE,Medicine Hat,AB,T1B 2R4,"50.00294817557074, -110.65117378888513",Medecine Hat,AB,"Monday, July 28, 2025"
ESC,Town 'N' Country Mall,1235 Main St N,Moose Jaw,SK,S6H 1M6,"50.40461477158353, -105.53048477352321",Moose Jaw,SK,"Tuesday, July 29, 2025"
ESC,Town 'N' Country Mall,1235 Main St N,Moose Jaw,SK,S6H 1M6,"50.40461477158353, -105.53048477352321",Moose Jaw,SK,"Wednesday, July 30, 2025"
ESC,Town 'N' Country Mall,1235 Main St N,Moose Jaw,SK,S6H 1M6,"50.40461477158353, -105.53048477352321",Moose Jaw,SK,"Thursday, July 31, 2025"
ESC,Town 'N' Country Mall,1235 Main St N,Moose Jaw,SK,S6H 1M6,"50.40461477158353, -105.53048477352321",Moose Jaw,SK,"Friday, August 1, 2025"
ESC,Town 'N' Country Mall,1235 Main St N,Moose Jaw,SK,S6H 1M6,"50.40461477158353, -105.53048477352321",Moose Jaw,SK,"Saturday, August 2, 2025"
ESC,Town 'N' Country Mall,1235 Main St N,Moose Jaw,SK,S6H 1M6,"50.40461477158353, -105.53048477352321",Moose Jaw,SK,"Sunday, August 3, 2025"
ESC,Town 'N' Country Mall,1235 Main St N,Moose Jaw,SK,S6H 1M6,"50.40461477158353, -105.53048477352321",Moose Jaw,SK,"Monday, August 4, 2025"
TEST,REAL District,1700 Elphinstone St,Regina,SK,S4P 2Z6,"50.450340555226774, -104.63786938064318",Regina,SK,"Tuesday, April 1, 2025"
TEST,REAL District,1700 Elphinstone St,Regina,SK,S4P 2Z6,"50.450340555226774, -104.63786938064318",Regina,SK,"Wednesday, April 2, 2025"
TEST,REAL District,1700 Elphinstone St,Regina,SK,S4P 2Z6,"50.450340555226774, -104.63786938064318",Regina,SK,"Thursday, April 3, 2025"
TEST,REAL District,1700 Elphinstone St,Regina,SK,S4P 2Z6,"50.450340555226774, -104.63786938064318",Regina,SK,"Friday, April 4, 2025"
TEST,REAL District,1700 Elphinstone St,Regina,SK,S4P 2Z6,"50.450340555226774, -104.63786938064318",Regina,SK,"Saturday, April 5, 2025"
TEST,REAL District,1700 Elphinstone St,Regina,SK,S4P 2Z6,"50.450340555226774, -104.63786938064318",Regina,SK,"Sunday, April 6, 2025"
TEST,REAL District,1700 Elphinstone St,Regina,SK,S4P 2Z6,"50.450340555226774, -104.63786938064318",Regina,SK,"Monday, April 7, 2025"
TEST,Prairieland,503 Ruth St W,Saskatoon,SK,S7K 4E4,"52.09809146541881, -106.6782235410248",Saskatoon,SK,"Tuesday, April 8, 2025"
TEST,Prairieland,503 Ruth St W,Saskatoon,SK,S7K 4E4,"52.09809146541881, -106.6782235410248",Saskatoon,SK,"Wednesday, April 9, 2025"
TEST,Prairieland,503 Ruth St W,Saskatoon,SK,S7K 4E4,"52.09809146541881, -106.6782235410248",Saskatoon,SK,"Thursday, April 10, 2025"
TEST,Prairieland,503 Ruth St W,Saskatoon,SK,S7K 4E4,"52.09809146541881, -106.6782235410248",Saskatoon,SK,"Friday, April 11, 2025"
TEST,Prairieland,503 Ruth St W,Saskatoon,SK,S7K 4E4,"52.09809146541881, -106.6782235410248",Saskatoon,SK,"Saturday, April 12, 2025"
TEST,Prairieland,503 Ruth St W,Saskatoon,SK,S7K 4E4,"52.09809146541881, -106.6782235410248",Saskatoon,SK,"Sunday, April 13, 2025"
TEST,Prairieland,503 Ruth St W,Saskatoon,SK,S7K 4E4,"52.09809146541881, -106.6782235410248",Saskatoon,SK,"Monday, April 14, 2025"
TEST,Assiniboia Downs,3975 Portage Ave,Winnipeg,MB,R3K 2E9,"49.89089984749268, -97.32837476005486",Winnipeg,MB,"Tuesday, April 15, 2025"
TEST,Assiniboia Downs,3975 Portage Ave,Winnipeg,MB,R3K 2E9,"49.89089984749268, -97.32837476005486",Winnipeg,MB,"Wednesday, April 16, 2025"
TEST,Assiniboia Downs,3975 Portage Ave,Winnipeg,MB,R3K 2E9,"49.89089984749268, -97.32837476005486",Winnipeg,MB,"Thursday, April 17, 2025"
TEST,Assiniboia Downs,3975 Portage Ave,Winnipeg,MB,R3K 2E9,"49.89089984749268, -97.32837476005486",Winnipeg,MB,"Friday, April 18, 2025"
TEST,Assiniboia Downs,3975 Portage Ave,Winnipeg,MB,R3K 2E9,"49.89089984749268, -97.32837476005486",Winnipeg,MB,"Saturday, April 19, 2025"
TEST,Assiniboia Downs,3975 Portage Ave,Winnipeg,MB,R3K 2E9,"49.89089984749268, -97.32837476005486",Winnipeg,MB,"Sunday, April 20, 2025"
TEST,Assiniboia Downs,3975 Portage Ave,Winnipeg,MB,R3K 2E9,"49.89089984749268, -97.32837476005486",Winnipeg,MB,"Monday, April 21, 2025"
TEST,Canadian Lakehead Exhibition,425 Northern Ave,Thunder Bay,ON,P7C 2V6,"48.397312565407994, -89.24337771594672",Thunder Bay,ON,"Tuesday, April 22, 2025"
TEST,Canadian Lakehead Exhibition,425 Northern Ave,Thunder Bay,ON,P7C 2V6,"48.397312565407994, -89.24337771594672",Thunder Bay,ON,"Wednesday, April 23, 2025"
TEST,Canadian Lakehead Exhibition,425 Northern Ave,Thunder Bay,ON,P7C 2V6,"48.397312565407994, -89.24337771594672",Thunder Bay,ON,"Thursday, April 24, 2025"
